pdb,label,prob1
1a17_6,0,0.33
1a3a_1,1,0.84
1a7g_1,1,0.914
1ac6_1,1,0.934
1afw_1,1,0.63
1ail_1,1,0.89
1aiz_1,1,0.862
1alu_1,0,0.268
1aoh_1,1,0.774
1azt_1,0,0.026
1azw_1,0,0.212
1b0w_1,1,0.988
1b23_4,0,0.008
1b78_1,1,0.928
1bgf_1,1,0.746
1bhm_1,1,0.576
1bjj_9,1,0.444
1bjt_1,0,0.228
1bp6_1,0,0.062
1br1_20,0,0.068
1bs2_4,0,0.038
1bws_1,0,0.072
1bww_1,1,0.99
1c16_14,0,0.312
1c3g_1,0,0.306
1cd0_1,1,0.982
1cd8_1,1,0.826
1cdt_1,1,0.872
1cp2_1,1,0.654
1cx8_2,0,0.23
1cyy_5,0,0.022
1d1t_4,1,0.89
1d5w_2,1,0.94
1dd7_1,0,0.292
1dgk_1,0,0.054
1dov_3,0,0.316
1dp4_1,1,0.886
1dp4_2,1,0.892
1dt9_4,0,0.012
1dvr_1,1,0.056
1e0r_2,0,0.288
1e59_1,1,0.952
1e6c_1,0,0.468
1e7n_1,1,0.85
1e85_1,1,0.954
1ecx_1,0,0.332
1eeq_1,1,0.97
1eku_1,0,0.322
1eqw_2,1,0.974
1erv_1,1,0.936
1esr_1,0,0.82
1ewj_2,1,0.378
1ex2_1,0,0.456
1f1c_1,1,0.866
1f1g_2,1,0.986
1f1j_5,0,0.228
1fcf_6,0,0.052
1fdj_11,0,0.02
1fe0_1,1,0.83
1fp3_2,0,0.538
1fp5_1,1,0.668
1fpq_1,0,0.242
1fr1_1,0,0.008
1fse_3,1,0.964
1fu1_8,0,0.456
1fux_1,1,0.934
1fvp_1,1,0.242
1fzv_1,1,0.354
1g68_1,0,0.174
1g73_7,0,0.174
1gam_1,1,0.916
1gan_1,1,0.96
1gcj_1,0,0.134
1ggt_10,0,0.138
1gmz_1,1,0.928
1gxd_4,0,0.016
1gyl_1,0,0.112
1gyo_1,1,0.786
1h0x_1,1,0.952
1h1y_1,1,0.97
1h3i_1,0,0.41
1ha4_1,1,0.93
1hjr_1,1,0.854
1hlc_1,1,0.954
1hq8_1,1,0.56
1hsj_1,0,0.328
1hux_1,1,0.866
1hy3_1,1,0.416
1i49_3,0,0.224
1i74_1,1,0.8
1ibd_1,1,0.992
1ici_5,0,0.304
1ii2_1,1,0.764
1iiw_1,1,0.376
1ijy_1,0,0.968
1iqc_1,1,0.486
1is3_1,1,0.948
1iug_1,1,0.588
1ivl_1,1,0.988
1ix9_1,1,0.974
1ixq_2,1,0.868
1iyz_1,0,0.574
1j1i_1,1,0.866
1j36_3,0,0.072
1j8b_1,1,0.922
1j8f_5,0,0.388
1jbg_1,1,0.702
1jhe_1,1,0.96
1jil_1,0,0.006
1jm0_2,1,0.978
1jog_2,1,0.816
1jqj_9,0,0.008
1jr9_1,1,0.914
1jrk_1,1,0.546
1juh_9,0,0.612
1jye_1,0,0.176
1jzo_1,1,0.97
1k1y_4,0,0.118
1k46_1,0,0.268
1k6i_3,0,0.154
1k9a_11,0,0.072
1kcm_6,0,0.296
1kez_1,1,0.812
1kho_1,0,0.204
1khx_2,0,0.154
1kie_1,1,0.504
1kix_3,0,0.254
1ks2_1,1,0.666
1ktn_1,1,0.85
1ku2_1,0,0.252
1ku2_4,0,0.466
1kut_1,1,0.944
1kvo_2,0,0.692
1l7c_5,0,0.318
1lee_3,0,0.472
1lkv_6,0,0.384
1lvb_5,0,0.274
1lws_4,0,0.0
1lyn_1,1,0.92
1m08_1,1,0.264
1m2a_1,1,0.966
1m6b_2,0,0.22
1m6u_9,0,0.14
1mft_1,1,0.57
1mi8_1,1,0.964
1mml_2,0,0.176
1mp9_1,1,0.408
1mqd_4,1,0.498
1mvh_1,0,0.036
1my6_1,1,0.976
1my7_1,1,0.988
1n0v_2,0,0.014
1nf7_4,0,0.184
1nfs_1,1,0.968
1nft_1,0,0.124
1nft_2,0,0.062
1np6_1,1,0.388
1np8_1,0,0.378
1ns5_1,1,0.796
1nvt_1,1,0.8
1nzi_1,1,0.628
1o12_1,1,0.588
1o64_1,1,0.75
1o6d_2,1,0.814
1o92_2,0,0.006
1obb_1,1,0.49
1ohq_1,1,0.964
1okj_1,1,0.822
1or3_7,0,0.432
1ors_10,0,0.47
1ov4_1,1,0.736
1ovn_1,1,0.602
1oya_1,1,0.892
1p35_11,0,0.106
1p8l_1,0,0.012
1pcz_1,0,0.532
1pd5_26,0,0.08
1poe_1,0,0.482
1pp3_2,0,0.12
1prx_1,1,0.65
1psa_1,0,0.056
1psq_1,1,0.98
1pxv_1,0,0.222
1q1e_2,0,0.084
1q1n_1,1,0.394
1q4j_1,0,0.696
1q7s_3,1,0.852
1q98_1,1,0.998
1qex_1,0,0.192
1qex_6,0,0.06
1qg7_1,1,0.944
1qhm_4,0,0.092
1qhq_3,1,0.894
1qkd_1,1,0.674
1qmj_1,1,0.978
1qpg_1,0,0.018
1qq7_1,1,0.872
1qrd_1,0,0.076
1qto_1,1,0.57
1qvt_19,0,0.22
1qvw_1,1,0.798
1qxh_1,1,0.978
1qya_1,1,0.838
1r5q_2,1,0.906
1r7j_1,1,0.708
1rcw_2,1,0.562
1rfy_1,1,0.868
1rk4_1,0,0.738
1rkr_5,1,0.932
1rp5_3,0,0.008
1rpa_1,1,0.37
1rtv_1,0,0.666
1rz6_2,1,0.386
1s9c_6,1,0.824
1s9p_1,1,0.254
1s9p_5,0,0.638
1se8_1,0,0.274
1sfl_1,1,0.938
1sfr_4,1,0.944
1si5_3,0,0.276
1slb_2,1,0.984
1som_1,0,0.052
1srr_1,1,0.968
1sw2_4,0,0.1
1sxs_1,1,0.98
1syq_8,0,0.278
1t0i_1,1,0.342
1t1e_2,0,0.094
1t1l_1,0,0.538
1t3w_1,0,0.388
1taq_5,0,0.048
1tf5_1,0,0.01
1tfg_1,1,0.528
1tmk_1,1,0.986
1to0_3,1,0.956
1to4_1,1,0.992
1tvd_1,1,0.95
1txn_1,0,0.228
1tz3_1,1,0.91
1u07_1,0,0.442
1u20_1,1,0.778
1u2j_24,0,0.188
1u3z_1,1,0.91
1u4m_1,1,0.882
1uat_2,1,0.82
1ud0_7,0,0.212
1udv_1,1,0.956
1uer_2,1,0.978
1ujk_3,0,0.338
1ujn_1,1,0.842
1ukg_1,1,0.786
1uou_1,1,0.874
1usm_1,1,0.984
1uvz_3,1,0.85
1v2a_1,1,0.556
1v2z_1,1,0.984
1v4t_4,0,0.176
1v4v_1,1,0.604
1v98_2,1,0.896
1vez_2,1,0.974
1vg9_2,0,0.286
1vh0_8,1,0.74
1vic_7,0,0.052
1vok_6,0,0.028
1vpl_1,0,0.116
1vqu_1,1,0.938
1vr0_1,1,0.87
1wac_4,0,0.006
1wlg_3,0,0.092
1wn2_1,1,0.944
1wtc_1,0,0.284
1wwp_1,1,0.916
1x1p_3,0,0.226
1xef_2,1,0.048
1xew_4,0,0.112
1xi1_1,0,0.054
1xi3_1,1,0.948
1xkv_1,0,0.03
1xkz_2,1,0.296
1xrc_5,0,0.154
1xre_1,1,0.978
1xso_1,1,0.97
1xsv_1,1,0.812
1xty_2,1,0.984
1xub_1,0,0.076
1xuq_1,1,0.974
1xur_1,0,0.23
1xvq_2,1,0.774
1xwb_5,1,0.876
1y67_1,1,0.992
1y6h_3,0,0.212
1y7h_2,1,0.896
1y7y_1,1,0.998
1yad_2,1,0.966
1yae_9,1,0.06
1ybz_2,1,0.306
1ye5_1,1,0.644
1yem_1,1,0.936
1yln_1,0,0.242
1ysj_1,1,0.608
1yv9_1,0,0.132
1yvl_4,0,0.238
1z72_1,1,0.966
1z9p_1,1,0.992
1zbh_2,0,0.062
1zbr_1,1,0.508
1zc6_1,0,0.256
1zcj_3,0,0.012
1zh2_1,1,0.78
1zjj_1,1,0.81
1zlj_1,1,0.774
1zp7_1,1,0.444
1zsz_1,1,0.83
1zxk_1,1,0.524
1zy2_1,1,0.964
1zzh_2,1,0.426
2a4a_3,1,0.884
2a67_2,1,0.806
2a8f_1,1,0.918
2ac1_3,0,0.004
2aca_1,1,0.658
2ahm_21,0,0.282
2ajq_9,0,0.026
2aps_1,1,0.998
2ar8_1,0,0.026
2axi_3,0,0.416
2b0u_18,0,0.032
2b5a_1,1,0.996
2b7l_1,1,0.984
2b8h_6,0,0.112
2bbh_4,0,0.41
2bde_2,0,0.082
2bdm_2,0,0.018
2bdq_1,1,0.694
2bej_1,0,0.652
2bhm_2,1,0.836
2bho_1,1,0.666
2bm5_1,1,0.956
2bpd_1,0,0.828
2brv_1,0,0.028
2c2x_1,1,0.764
2c9s_1,1,0.986
2cc3_1,1,0.736
2cd0_1,1,0.838
2ctx_1,1,0.83
2cw2_1,1,0.986
2cw3_1,1,0.918
2cx4_1,1,0.918
2d13_2,1,0.896
2d4h_1,0,0.058
2dc4_1,1,0.95
2dh6_1,0,0.056
2dou_1,1,0.738
2dpf_1,1,0.558
2dql_1,1,0.746
2dsj_1,1,0.904
2dvn_1,0,0.284
2dwu_1,1,0.248
2dwy_6,0,0.386
2e1d_1,1,0.496
2e2c_1,1,0.904
2e46_1,1,0.29
2eav_1,1,0.438
2ebb_1,1,0.982
2ecf_1,1,0.26
2egu_3,0,0.832
2ejn_1,0,0.592
2ekz_1,0,0.25
2eo0_1,1,0.978
2erc_1,0,0.11
2ew2_1,1,0.976
2ewt_1,1,0.962
2f00_1,1,0.252
2f1m_2,0,0.182
2f1z_5,0,0.23
2f5e_1,1,0.7
2f6s_1,1,0.726
2f96_1,1,0.742
2f9q_2,0,0.018
2f9q_3,0,0.268
2fca_1,1,0.912
2fco_1,1,0.886
2ffv_3,0,0.01
2fhq_1,1,0.682
2fj2_2,1,0.784
2fn1_1,1,0.954
2fuc_1,1,0.52
2fv7_1,0,0.052
2g0h_1,0,0.042
2g3k_8,0,0.952
2g3p_1,0,0.242
2g45_2,0,0.256
