pdb,label,prob1
1a17_6,0,0.176
1a3a_1,1,0.876
1a7g_1,1,0.966
1ac6_1,1,0.912
1afw_1,1,0.76
1ail_1,1,0.918
1aiz_1,1,0.918
1alu_1,0,0.308
1aoh_1,1,0.794
1azt_1,0,0.036
1azw_1,0,0.188
1b0w_1,1,0.996
1b23_4,0,0.004
1b78_1,1,0.934
1bgf_1,1,0.834
1bhm_1,1,0.592
1bjj_9,1,0.468
1bjt_1,0,0.16
1bp6_1,0,0.014
1br1_20,0,0.046
1bs2_4,0,0.008
1bws_1,0,0.018
1bww_1,1,0.994
1c16_14,0,0.274
1c3g_1,0,0.342
1cd0_1,1,0.992
1cd8_1,1,0.826
1cdt_1,1,0.908
1cp2_1,1,0.64
1cx8_2,0,0.108
1cyy_5,0,0.01
1d1t_4,1,0.86
1d5w_2,1,0.958
1dd7_1,0,0.27
1dgk_1,0,0.026
1dov_3,0,0.324
1dp4_1,1,0.884
1dp4_2,1,0.916
1dt9_4,0,0.0
1dvr_1,1,0.036
1e0r_2,0,0.312
1e59_1,1,0.982
1e6c_1,0,0.362
1e7n_1,1,0.856
1e85_1,1,0.964
1ecx_1,0,0.372
1eeq_1,1,0.942
1eku_1,0,0.184
1eqw_2,1,0.968
1erv_1,1,0.968
1esr_1,0,0.78
1ewj_2,1,0.324
1ex2_1,0,0.588
1f1c_1,1,0.836
1f1g_2,1,0.99
1f1j_5,0,0.272
1fcf_6,0,0.012
1fdj_11,0,0.01
1fe0_1,1,0.878
1fp3_2,0,0.542
1fp5_1,1,0.656
1fpq_1,0,0.24
1fr1_1,0,0.004
1fse_3,1,0.964
1fu1_8,0,0.408
1fux_1,1,0.904
1fvp_1,1,0.128
1fzv_1,1,0.38
1g68_1,0,0.162
1g73_7,0,0.196
1gam_1,1,0.888
1gan_1,1,0.96
1gcj_1,0,0.086
1ggt_10,0,0.108
1gmz_1,1,0.896
1gxd_4,0,0.002
1gyl_1,0,0.01
1gyo_1,1,0.744
1h0x_1,1,0.98
1h1y_1,1,0.982
1h3i_1,0,0.29
1ha4_1,1,0.918
1hjr_1,1,0.94
1hlc_1,1,0.928
1hq8_1,1,0.55
1hsj_1,0,0.184
1hux_1,1,0.876
1hy3_1,1,0.412
1i49_3,0,0.14
1i74_1,1,0.82
1ibd_1,1,0.988
1ici_5,0,0.214
1ii2_1,1,0.824
1iiw_1,1,0.378
1ijy_1,0,0.946
1iqc_1,1,0.508
1is3_1,1,0.998
1iug_1,1,0.644
1ivl_1,1,0.996
1ix9_1,1,0.984
1ixq_2,1,0.9
1iyz_1,0,0.642
1j1i_1,1,0.976
1j36_3,0,0.028
1j8b_1,1,0.998
1j8f_5,0,0.3
1jbg_1,1,0.722
1jhe_1,1,0.964
1jil_1,0,0.002
1jm0_2,1,0.98
1jog_2,1,0.846
1jqj_9,0,0.012
1jr9_1,1,0.886
1jrk_1,1,0.43
1juh_9,0,0.514
1jye_1,0,0.074
1jzo_1,1,0.958
1k1y_4,0,0.024
1k46_1,0,0.232
1k6i_3,0,0.072
1k9a_11,0,0.01
1kcm_6,0,0.27
1kez_1,1,0.862
1kho_1,0,0.19
1khx_2,0,0.128
1kie_1,1,0.458
1kix_3,0,0.108
1ks2_1,1,0.708
1ktn_1,1,0.87
1ku2_1,0,0.106
1ku2_4,0,0.586
1kut_1,1,0.964
1kvo_2,0,0.81
1l7c_5,0,0.392
1lee_3,0,0.254
1lkv_6,0,0.308
1lvb_5,0,0.37
1lws_4,0,0.0
1lyn_1,1,0.962
