pdb,label,prob1
1a17_6,0,0.256
1a3a_1,1,0.914
1a7g_1,1,0.986
1ac6_1,1,0.958
1afw_1,1,0.458
1ail_1,1,0.95
1aiz_1,1,0.938
1alu_1,0,0.638
1aoh_1,1,0.884
1azt_1,0,0.098
1azw_1,0,0.236
1b0w_1,1,0.98
1b23_4,0,0.002
1b78_1,1,0.968
1bgf_1,1,0.724
1bhm_1,1,0.85
1bjj_9,1,0.104
1bjt_1,0,0.504
1bp6_1,0,0.174
1br1_20,0,0.004
1bs2_4,0,0.0
1bws_1,0,0.038
1bww_1,1,1.0
1c16_14,0,0.296
1c3g_1,0,0.868
1cd0_1,1,0.99
1cd8_1,1,0.844
1cdt_1,1,0.98
1cp2_1,1,0.436
1cx8_2,0,0.0
1cyy_5,0,0.0
1d1t_4,1,0.448
1d5w_2,1,0.992
1dd7_1,0,0.29
1dgk_1,0,0.012
1dov_3,0,0.486
1dp4_1,1,0.95
1dp4_2,1,0.962
1dt9_4,0,0.0
1dvr_1,1,0.03
1e0r_2,0,0.406
1e59_1,1,0.964
1e6c_1,0,0.57
1e7n_1,1,1.0
1e85_1,1,0.992
1ecx_1,0,0.438
1eeq_1,1,0.962
1eku_1,0,0.068
1eqw_2,1,0.908
1erv_1,1,0.912
1esr_1,0,0.868
1ewj_2,1,0.442
1ex2_1,0,0.778
1f1c_1,1,0.894
1f1g_2,1,0.97
1f1j_5,0,0.194
1fcf_6,0,0.036
1fdj_11,0,0.026
1fe0_1,1,0.928
1fp3_2,0,0.366
1fp5_1,1,0.804
1fpq_1,0,0.298
1fr1_1,0,0.01
1fse_3,1,0.986
1fu1_8,0,0.172
1fux_1,1,0.924
1fvp_1,1,0.032
1fzv_1,1,0.544
1g68_1,0,0.104
1g73_7,0,0.318
1gam_1,1,0.916
1gan_1,1,0.894
1gcj_1,0,0.038
1ggt_10,0,0.024
1gmz_1,1,0.834
1gxd_4,0,0.014
1gyl_1,0,0.04
1gyo_1,1,0.922
1h0x_1,1,0.958
1h1y_1,1,0.992
1h3i_1,0,0.332
1ha4_1,1,0.906
1hjr_1,1,0.994
1hlc_1,1,0.96
1hq8_1,1,0.652
1hsj_1,0,0.184
1hux_1,1,0.704
1hy3_1,1,0.722
1i49_3,0,0.078
1i74_1,1,0.922
1ibd_1,1,0.982
1ici_5,0,0.108
1ii2_1,1,0.836
1iiw_1,1,0.336
1ijy_1,0,0.952
1iqc_1,1,0.354
1is3_1,1,0.998
1iug_1,1,0.102
1ivl_1,1,0.988
1ix9_1,1,0.872
1ixq_2,1,0.914
1iyz_1,0,0.548
1j1i_1,1,0.882
1j36_3,0,0.002
1j8b_1,1,1.0
1j8f_5,0,0.412
