pdb,label,prob1
1a17_6,0,0.146
1a3a_1,1,0.822
1a7g_1,1,0.982
1ac6_1,1,0.938
1afw_1,1,0.698
1ail_1,1,0.916
1aiz_1,1,0.902
1alu_1,0,0.278
1aoh_1,1,0.822
1azt_1,0,0.052
1azw_1,0,0.144
1b0w_1,1,0.982
1b23_4,0,0.008
1b78_1,1,0.976
1bgf_1,1,0.768
1bhm_1,1,0.712
1bjj_9,1,0.434
1bjt_1,0,0.208
1bp6_1,0,0.04
1br1_20,0,0.042
1bs2_4,0,0.004
1bws_1,0,0.04
1bww_1,1,0.998
1c16_14,0,0.316
1c3g_1,0,0.47
1cd0_1,1,0.986
1cd8_1,1,0.9
1cdt_1,1,0.908
1cp2_1,1,0.622
1cx8_2,0,0.046
1cyy_5,0,0.0
1d1t_4,1,0.774
1d5w_2,1,0.98
1dd7_1,0,0.364
1dgk_1,0,0.028
1dov_3,0,0.346
1dp4_1,1,0.862
1dp4_2,1,0.88
1dt9_4,0,0.0
1dvr_1,1,0.044
1e0r_2,0,0.334
1e59_1,1,0.982
1e6c_1,0,0.432
1e7n_1,1,0.844
1e85_1,1,0.986
1ecx_1,0,0.212
1eeq_1,1,0.982
1eku_1,0,0.102
1eqw_2,1,0.97
1erv_1,1,0.93
1esr_1,0,0.734
1ewj_2,1,0.358
1ex2_1,0,0.658
1f1c_1,1,0.75
1f1g_2,1,0.982
1f1j_5,0,0.374
1fcf_6,0,0.02
1fdj_11,0,0.002
1fe0_1,1,0.812
1fp3_2,0,0.504
1fp5_1,1,0.744
1fpq_1,0,0.21
1fr1_1,0,0.004
1fse_3,1,0.952
1fu1_8,0,0.26
1fux_1,1,0.9
1fvp_1,1,0.06
1fzv_1,1,0.494
1g68_1,0,0.146
1g73_7,0,0.15
1gam_1,1,0.942
1gan_1,1,0.924
1gcj_1,0,0.05
1ggt_10,0,0.042
1gmz_1,1,0.92
1gxd_4,0,0.006
1gyl_1,0,0.018
1gyo_1,1,0.722
1h0x_1,1,0.988
1h1y_1,1,0.99
1h3i_1,0,0.562
1ha4_1,1,0.916
1hjr_1,1,0.948
1hlc_1,1,0.954
1hq8_1,1,0.548
1hsj_1,0,0.086
1hux_1,1,0.898
1hy3_1,1,0.432
1i49_3,0,0.122
1i74_1,1,0.852
1ibd_1,1,0.982
1ici_5,0,0.15
1ii2_1,1,0.838
1iiw_1,1,0.394
1ijy_1,0,0.928
1iqc_1,1,0.644
1is3_1,1,0.998
1iug_1,1,0.354
1ivl_1,1,0.994
1ix9_1,1,0.972
1ixq_2,1,0.884
1iyz_1,0,0.706
1j1i_1,1,0.966
1j36_3,0,0.028
1j8b_1,1,0.98
1j8f_5,0,0.328
1jbg_1,1,0.716
1jhe_1,1,0.984
1jil_1,0,0.004
1jm0_2,1,0.98
1jog_2,1,0.88
1jqj_9,0,0.004
1jr9_1,1,0.92
1jrk_1,1,0.664
1juh_9,0,0.594
1jye_1,0,0.1
1jzo_1,1,0.93
1k1y_4,0,0.028
1k46_1,0,0.096
1k6i_3,0,0.04
1k9a_11,0,0.006
1kcm_6,0,0.26
1kez_1,1,0.818
1kho_1,0,0.246
1khx_2,0,0.088
1kie_1,1,0.322
1kix_3,0,0.168
1ks2_1,1,0.708
1ktn_1,1,0.928
1ku2_1,0,0.084
1ku2_4,0,0.71
1kut_1,1,0.958
1kvo_2,0,0.804
1l7c_5,0,0.43
1lee_3,0,0.128
1lkv_6,0,0.482
1lvb_5,0,0.44
1lws_4,0,0.002
1lyn_1,1,0.938
1m08_1,1,0.124
1m2a_1,1,0.966
1m6b_2,0,0.232
1m6u_9,0,0.098
1mft_1,1,0.374
1mi8_1,1,0.922
1mml_2,0,0.098
1mp9_1,1,0.42
1mqd_4,1,0.432
1mvh_1,0,0.068
1my6_1,1,0.988
1my7_1,1,0.984
1n0v_2,0,0.0
1nf7_4,0,0.344
1nfs_1,1,0.994
1nft_1,0,0.042
1nft_2,0,0.016
1np6_1,1,0.604
1np8_1,0,0.384
1ns5_1,1,0.876
1nvt_1,1,0.724
1nzi_1,1,0.682
1o12_1,1,0.602
1o64_1,1,0.78
1o6d_2,1,0.784
1o92_2,0,0.006
1obb_1,1,0.424
1ohq_1,1,0.96
1okj_1,1,0.882
1or3_7,0,0.398
1ors_10,0,0.504
1ov4_1,1,0.79
1ovn_1,1,0.808
1oya_1,1,0.928
1p35_11,0,0.014
1p8l_1,0,0.0
1pcz_1,0,0.482
1pd5_26,0,0.022
1poe_1,0,0.364
1pp3_2,0,0.148
1prx_1,1,0.744
1psa_1,0,0.01
1psq_1,1,0.94
1pxv_1,0,0.258
1q1e_2,0,0.118
1q1n_1,1,0.184
1q4j_1,0,0.534
1q7s_3,1,0.906
1q98_1,1,0.96
1qex_1,0,0.226
1qex_6,0,0.048
1qg7_1,1,0.936
1qhm_4,0,0.056
1qhq_3,1,0.928
1qkd_1,1,0.676
1qmj_1,1,0.958
1qpg_1,0,0.0
1qq7_1,1,0.794
1qrd_1,0,0.07
1qto_1,1,0.484
1qvt_19,0,0.08
1qvw_1,1,0.864
1qxh_1,1,0.966
1qya_1,1,0.95
1r5q_2,1,0.938
1r7j_1,1,0.786
1rcw_2,1,0.746
1rfy_1,1,0.962
1rk4_1,0,0.82
1rkr_5,1,0.966
1rp5_3,0,0.0
1rpa_1,1,0.364
1rtv_1,0,0.946
1rz6_2,1,0.246
1s9c_6,1,0.896
1s9p_1,1,0.408
1s9p_5,0,0.578
1se8_1,0,0.256
1sfl_1,1,0.966
1sfr_4,1,0.932
1si5_3,0,0.3
1slb_2,1,0.948
1som_1,0,0.034
1srr_1,1,0.906
1sw2_4,0,0.0
1sxs_1,1,0.962
1syq_8,0,0.356
1t0i_1,1,0.19
1t1e_2,0,0.03
1t1l_1,0,0.69
1t3w_1,0,0.516
1taq_5,0,0.006
1tf5_1,0,0.002
1tfg_1,1,0.538
1tmk_1,1,0.98
1to0_3,1,0.924
1to4_1,1,0.98
1tvd_1,1,0.994
1txn_1,0,0.142
1tz3_1,1,0.96
1u07_1,0,0.524
1u20_1,1,0.822
1u2j_24,0,0.218
1u3z_1,1,0.94
1u4m_1,1,0.884
1uat_2,1,0.936
1ud0_7,0,0.086
1udv_1,1,0.968
1uer_2,1,0.956
1ujk_3,0,0.298
1ujn_1,1,0.94
1ukg_1,1,0.82
1uou_1,1,0.946
1usm_1,1,0.998
1uvz_3,1,0.874
1v2a_1,1,0.368
1v2z_1,1,0.986
1v4t_4,0,0.1
1v4v_1,1,0.746
1v98_2,1,0.924
1vez_2,1,0.958
1vg9_2,0,0.356
1vh0_8,1,0.742
1vic_7,0,0.046
1vok_6,0,0.012
1vpl_1,0,0.166
1vqu_1,1,0.962
1vr0_1,1,0.88
1wac_4,0,0.002
1wlg_3,0,0.074
1wn2_1,1,0.974
1wtc_1,0,0.404
1wwp_1,1,0.882
1x1p_3,0,0.342
1xef_2,1,0.062
1xew_4,0,0.038
1xi1_1,0,0.0
1xi3_1,1,0.992
1xkv_1,0,0.0
1xkz_2,1,0.192
1xrc_5,0,0.054
1xre_1,1,0.982
